Character,From Apple Modifier,HID usage,To Windows Modifier,HID usage

@,,0x0064,Alt-Gr,0x0027
#,Shift,0x0064,Alt-Gr,0x0020

<,,0x0035,,0x0064
>,Shift,0x0035,Shift,0x0064

ß,,0x0023,Shift,0x0038

!,,0x0025,,0x0038

-,,0x002E,,0x0023

_,Shift,0x002E,,0x0025

=,,0x0038,,0x002E

+,Shift,0x0038,Shift,0x002E

*,Shift,0x0030,,0x0031

Ä,Alt,0x0030,Alt-Gr,0x0008

£,Shift,0x0031,Shift,0x0030

{,Alt,0x0022,Alt-Gr,0x0021
},Alt,0x002D,Alt-Gr,0x002E

`,,0x0031,Alt-Gr,0x0024

.,,0x0063,,0x0010

=,,0x0067,,0x002E
